arpabet,character,1_before,2_before,3_before,1_after,2_after,3_after
IH,I,0.932582429298,1.56035596063,1.51959417888,0.807393158473,1.56324645807,1.57251051974
IH,E,0.735490626796,1.45700653898,1.45502931135,0.376417178671,1.45489287886,1.42074791489
IH,Y,0.945771954018,1.55948854138,1.3619106078,NONE,1.38626990634,1.40002396031
HH,H,1.29313678544,1.27935840859,1.00070032462,0.110134988957,0.369504835311,1.41007419565
EY,AI,0.379597319876,1.54397972886,1.48115911587,0.19171056245,1.48818798526,1.49054403519
EY,EI,NONE,1.52875944565,1.36697844569,0.363597442509,1.56693991845,1.34204172227
EY,AY,0.41460935774,1.51963132883,1.39108203468,0.997166865077,1.56299710756,1.40784469471
EY,A,0.821026322196,1.49620445009,1.52294943652,1.10007554184,1.29496521443,1.44874654795
EY,E,0.597946513798,1.35341544767,1.57405839324,1.17035882637,0.961293134718,0.687808184622
AW,OW,0.401742258432,1.38518633903,1.28472885484,1.18446774451,1.56248637372,1.40941197975
AW,OU,1.005353047,1.34183964946,1.14830428061,0.471953885692,1.13575170958,1.44946379053
AY,Y,0.957889735765,1.49342319697,1.36344649445,1.135377233,1.53851523299,1.56555653397
AY,I,0.424077379345,1.55163094125,1.56043923002,0.675640261074,1.57878129551,1.46087033474
TH,TH,1.14988091171,1.42437437081,1.53595072993,1.18951271621,1.42078880079,1.57041540099
OY,OY,0.26394866184,1.55478367072,1.54634214862,1.45142949584,1.54430512595,1.31876943332
B,B,1.41784164568,1.39331546531,1.21455738087,0.955196303961,1.20373881387,1.50314103373
B,BE,0.608518444811,0.773173333709,1.38074662469,NONE,0.750747274369,0.600869292676
D,D,1.55081230563,1.54714686822,1.44259367385,1.25966850501,1.43551522677,1.58442254697
D,DE,0.240176404786,0.608274045536,1.39786810303,0.244966603932,0.900218272807,0.79636079015
G,G,1.32482797188,1.47210315547,1.46162616832,1.10874807525,1.30220056436,1.32155335722
G,GE,NONE,NONE,1.38009433628,NONE,NONE,1.21833682434
F,F,1.50549589308,1.49331124912,1.30128779998,1.04250248491,1.30303226654,1.50252550909
F,PH,1.32778488123,1.44007819641,1.46391745931,0.706859281272,0.961985061406,1.45525194509
F,OUGH,NONE,NONE,NONE,NONE,NONE,NONE
UW,OU,0.440302878596,1.49446271706,1.1954275099,0.816274421525,1.55891826677,1.42642673712
UW,EW,1.13911978686,1.31680564679,1.4599853289,1.45765668052,1.500633907,1.37334829961
